Hovedkategori;Underkategori;Beskrivelse;Relevante tilbudseksempler
Sikkerhed, forsvar og risiko;Overvågning og cybersikkerhed;"Fokus: Fysisk og digital sikkerhed med fokus på trusler, adgangskontrol og operativ beskyttelse. Omfatter cybersikkerhed, netværkssikkerhed og overvågning, når det bruges som en del af teknisk sikring og beredskab – ikke som del af it-arkitektur eller systemudvikling.
Dækker fx: cybersikkerhed, netværkssikkerhed, adgangskontrol, overvågning, kontrolsystemer, IT-sikkerhed, dataetik, sikkerhedssystemer, trusselsbilleder, informationsbeskyttelse.";"IDA Militærteknik 
IDA Risk 
IDA Brandteknik 
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx tilbud som omhandler det faglige, tekniske og lovgivningsmæssige omkring arbejdsmiljø, herunder sikkerhedsstandarder, fysisk miljø og sundhedsrisici.)"
Sikkerhed, forsvar og risiko;Arbejdsmiljøforhold;"Fokus: Faglige og tekniske aspekter af arbejdsmiljø, med fokus på sikkerhedsstandarder, fysiske risici og lovgivning. Omfatter måling, regulering og beskyttelse mod skadelige påvirkninger i arbejdsmiljøet.
Dækker fx: støj, rystelser, partikler, ergonomi, ATEX, kemikaliehåndtering, arbejdsulykker, sikkerhedsberedskab, personlige værnemidler, arbejdsmiljølovgivning, ISO 45001, arbejdsmiljø
Bemærk: Ikke fokus på trivsel, personlig udvikling eller ledelsesstrategier – disse dækkes i andre hovedkategorier eller hovedområder. Det vil sige, at kategorien adskiller sig fra tilbud i Karriere og arbejdsliv, som handler om det generelle arbejdsmiljø – og fra tilbud i Ledelse og projektledelse, som dækker strategier til at fremme trivsel og arbejdsmiljø som leder. ";"IDA Militærteknik 
IDA Risk 
IDA Brandteknik 
IDA Arbejdsmiljø (Nogle tilbud fra denne enhed ligger her, fx tilbud som omhandler det faglige, tekniske og lovgivningsmæssige omkring arbejdsmiljø, herunder sikkerhedsstandarder, fysisk miljø og sundhedsrisici.)"
Transport, infrastruktur og byudvikling;Transport og infrastruktur;"Fokus: Fysiske transportmidler og de infrastrukturer, de benytter – herunder vejnet, jernbaner, lufthavne og havne. Kategorien dækker drift, systemer og netværk knyttet til vej-, bane-, sø- og lufttransport. Den omfatter ikke byplanlægning eller bæredygtighedsperspektiver, som behandles særskilt.
Dækker fx: jernbane, vej, luftfart, havne, metro, letbane, bus, terminaler, rullende materiel, stationsdesign, skibe, fly, biler, lastbiler, elbiler";"IDA Automotive 
IDA Fly
IDA Maritim 
IDA Rail 
IDA Trafik og Byplan 
IDA Trafik & Byplan, Østjylland 
Nordjyske planlæggere, IDA Nordjylland "
Transport, infrastruktur og byudvikling;Byplanlægning;"Fokus: Strategisk udvikling og indretning af byrum og infrastrukturelle løsninger i samspil med bebyggelse og brugere. Kategorien dækker planlægningsværktøjer og processer, herunder lokalplaner og stationsnærhed, og fokuserer på samspillet mellem mobilitet, bebyggelse og byrum.
Dækker fx: byplanlægning, lokalplaner, byudvikling, bydesign, stationsplacering, trafikknudepunkter, byrum";"IDA Automotive 
IDA Fly
IDA Maritim 
IDA Rail 
IDA Trafik og Byplan 
IDA Trafik & Byplan, Østjylland 
Nordjyske planlæggere, IDA Nordjylland "
Transport, infrastruktur og byudvikling;Bæredygtig transport;"Fokus: Transportløsninger og teknologier, der fremmer klimavenlig mobilitet og reducerer miljøpåvirkning. Kategorien dækker elektrificering, alternative drivmidler og fremtidsorienterede mobilitetsformer. Den fokuserer på teknologi og innovation – ikke på klassisk infrastruktur eller byplanlægning.
Dækker fx: elbiler, elbil, elektrificering, brint, grøn mobilitet, alternative drivmidler, CO2-reduktion, bæredygtig transport, klimavenlig transport, mobility-as-a-service, hyperloop, fremtidens mobilitet, teknologisk innovation, demonstrationsprojekter";"IDA Automotive 
IDA Fly
IDA Maritim 
IDA Rail 
IDA Trafik og Byplan 
IDA Trafik & Byplan, Østjylland 
Nordjyske planlæggere, IDA Nordjylland "
Naturvidenskab;Biologi;"Fokus: Dækker biologiske principper og levende systemers opbygning, funktion og samspil med omgivelserne. Kategorien favner klassisk biologi og naturvidenskabelig forståelse af livets processer – uden fokus på sygdom, behandling eller medicinsk anvendelse.
Dækker fx: Cellebiologi, genetik (uden sygdomsfokus), evolution, økologi, mikroorganismer, plante- og dyreliv, fotosyntese, respiration, biodiversitet, artsforståelse, biologisk kredsløb, naturformidling og livets udvikling.
Bemærk: Biologisk indhold med fokus på sundhed eller sygdom hører hjemme i Life Science og sundhed > Bioscience og bioteknologi.";"IDA Fysik
IDA Matematik 
Matematik, IDA Nord 
IDA Kemi 
Kemi og Bioteknik, IDA Nordjylland  
Kemi – og Bioteknologisk Udvalg, IDA Østjylland  
IDA Bioscience 
IDA Food Network 
IDA Urban Food Systems
IDA Levnedsmiddelselskabet 
IDA Kemi 
IDA Space"
Naturvidenskab;Fysik og astronomi;"Fokus: Omfatter naturens grundlæggende fysiske love og strukturer – fra mikroskopiske partikler til universets opbygning. Kategorien dækker både klassisk og moderne fysik samt astronomi og rumforskning, herunder rumfart og space-teknologi, når fokus er videnskabeligt eller teknologisk.
Dækker fx: Partikelfysik, kvantemekanik, elektromagnetisme, stråling, energi og bevægelse, astrofysik, rumfart, raketteknologi, rumfartøjer, satellitter, sorte huller, Big Bang, teleskoper, solsystemet, observationsteknik og fysikformidling.";"IDA Fysik
IDA Matematik 
Matematik, IDA Nord 
IDA Kemi 
Kemi og Bioteknik, IDA Nordjylland  
Kemi – og Bioteknologisk Udvalg, IDA Østjylland  
IDA Bioscience 
IDA Food Network 
IDA Urban Food Systems
IDA Levnedsmiddelselskabet 
IDA Kemi 
IDA Space"
Naturvidenskab;Kemi;"Fokus: Dækker kemiske stoffers opbygning, egenskaber og reaktioner – både i teori og praksis. Kategorien inkluderer klassisk kemi, synteseteknik og materialekemi med fokus på den molekylære forståelse af materialers egenskaber, herunder nanoteknologi og polymerer. Der er ikke fokus på medicinsk eller industriel anvendelse.
Dækker fx: Kemiske forbindelser, molekylestrukturer, reaktionstyper, syrer og baser, redoxprocesser, spektroskopi, kemisk syntese, analysemetoder, laboratorieteknik, stoichiometri, polymerer, funktionelle materialer, nanomaterialer, overfladefunktionalisering, kemisk procesteknik, materialers struktur–egenskabs-sammenhænge og ikke-biologisk nanoteknologi. 
Bemærk: Medicinsk anvendelse af kemi hører til i Life Science og sundhed > Pharma og lægemiddeludvikling. Industrielle materialer hører til i Produktion og industri > Materialeteknologi";"IDA Fysik
IDA Matematik 
Matematik, IDA Nord 
IDA Kemi 
Kemi og Bioteknik, IDA Nordjylland  
Kemi – og Bioteknologisk Udvalg, IDA Østjylland  
IDA Bioscience 
IDA Food Network 
IDA Urban Food Systems
IDA Levnedsmiddelselskabet 
IDA Kemi 
IDA Space"
Naturvidenskab;Matematik;"Fokus: Dækker matematiske begreber, metoder og modeller – både teoretisk og anvendt. Fokus er på, hvordan matematik danner grundlag for analyse og forståelse af naturvidenskabelige fænomener.
Dækker fx: Algebra, geometri, sandsynlighedsregning, statistik, differentialligninger, talteori, logik, numerisk modellering, datavisualisering, optimering og matematiske beviser.";"IDA Fysik
IDA Matematik 
Matematik, IDA Nord 
IDA Kemi 
Kemi og Bioteknik, IDA Nordjylland  
Kemi – og Bioteknologisk Udvalg, IDA Østjylland  
IDA Bioscience 
IDA Food Network 
IDA Urban Food Systems
IDA Levnedsmiddelselskabet 
IDA Kemi 
IDA Space"
Naturvidenskab;Fødevarer og ernæringsvidenskab;"Fokus: Omfatter naturvidenskabelige aspekter af fødevarer og ernæring – med fokus på kemisk sammensætning, sensorik, mikrobiologi og fødevarekvalitet. Kategorien dækker også ernæringens rolle i trivsel, uden klinisk eller patientrettet fokus.
Dækker fx: Fødevarekemi, næringsstoffer, fermentering, mikrobiologi i fødevarer, sensorik, smagsstoffer, aroma og tekstur, kvalitetssikring, fødevareanalyse, produktudvikling, sund kost og livsstil, levnedsmiddelvidenskab, trivsel gennem mad. 
Bemærk: Klinisk ernæring og patientrettet kost hører til i Life Science og sundhed > Ernæring og sundhed.";"IDA Fysik
IDA Matematik 
Matematik, IDA Nord 
IDA Kemi 
Kemi og Bioteknik, IDA Nordjylland  
Kemi – og Bioteknologisk Udvalg, IDA Østjylland  
IDA Bioscience 
IDA Food Network 
IDA Urban Food Systems
IDA Levnedsmiddelselskabet 
IDA Kemi 
IDA Space"
Naturvidenskab;Geologi og jordsystemer;"Fokus: Dækker Jordens opbygning, udvikling og dynamiske processer – både i nutiden og gennem geologisk tid. Kategorien favner fysisk geologi, jordbundsforhold, klimasammenhænge og samspillet mellem geosystemer og samfund.
Dækker fx: Bjergarter, jordlag, mineraler, sedimenter, stratigrafi, geologisk tid, paleontologi, grundvand, geofysik, klima i geologisk perspektiv, geotekniske forhold, geoengineering, naturressourcer og Jordens udviklingshistorie. 
Bemærk: Geologi brugt i klimateknologi eller ressourceforvaltning kan i særlige tilfælde også tagges i Energi, miljø og grøn omstilling.";"IDA Fysik
IDA Matematik 
Matematik, IDA Nord 
IDA Kemi 
Kemi og Bioteknik, IDA Nordjylland  
Kemi – og Bioteknologisk Udvalg, IDA Østjylland  
IDA Bioscience 
IDA Food Network 
IDA Urban Food Systems
IDA Levnedsmiddelselskabet 
IDA Kemi 
IDA Space"
